PID,Area,DC1117EW_C_SEX,DC1117EW_C_AGE,DC2101EW_C_ETHPUK11,HID
0,E02000001,1,1,2,2209
1,E02000001,1,1,2,3660
2,E02000001,1,1,2,4036
3,E02000001,1,1,2,2130
4,E02000001,1,1,2,2959
5,E02000001,1,1,2,2691
6,E02000001,1,1,2,2220
7,E02000001,1,1,2,186
8,E02000001,1,1,2,433
9,E02000001,1,1,2,365
10,E02000001,1,1,2,1329
11,E02000001,1,1,2,3797
12,E02000001,1,1,2,70
13,E02000001,1,1,2,3618
14,E02000001,1,1,2,1464
15,E02000001,1,1,2,178
16,E02000001,1,1,2,3211
17,E02000001,1,1,2,433
18,E02000001,1,1,2,4671
19,E02000001,1,1,2,39
20,E02000001,1,1,2,316
21,E02000001,1,1,2,784
22,E02000001,1,1,4,5402
23,E02000001,1,1,4,2226
24,E02000001,1,1,4,2859
25,E02000001,1,1,4,1128
26,E02000001,1,1,4,5305
27,E02000001,1,1,4,4973
28,E02000001,1,1,5,2065
29,E02000001,1,1,6,1732
30,E02000001,1,1,6,5264
31,E02000001,1,1,6,4072
32,E02000001,1,1,6,3456
33,E02000001,1,1,6,4202
34,E02000001,1,1,6,1080
35,E02000001,1,2,2,3589
36,E02000001,1,2,2,4382
37,E02000001,1,2,2,798
38,E02000001,1,2,2,2084
39,E02000001,1,2,2,1746
40,E02000001,1,2,2,1398
41,E02000001,1,2,2,949
42,E02000001,1,2,2,2212
43,E02000001,1,2,2,1879
44,E02000001,1,2,2,1353
45,E02000001,1,2,2,1978
46,E02000001,1,2,2,1494
47,E02000001,1,2,2,1359
48,E02000001,1,2,2,4070
49,E02000001,1,2,2,3927
50,E02000001,1,2,2,3811
51,E02000001,1,2,2,1925
52,E02000001,1,2,2,1316
53,E02000001,1,2,2,1924
54,E02000001,1,2,2,395
55,E02000001,1,2,4,508
56,E02000001,1,2,4,1310
57,E02000001,1,2,4,3815
58,E02000001,1,2,4,2046
59,E02000001,1,2,4,2282
60,E02000001,1,2,4,396
61,E02000001,1,2,4,2689
62,E02000001,1,2,4,2386
63,E02000001,1,2,4,3854
64,E02000001,1,2,4,2548
65,E02000001,1,2,6,5280
66,E02000001,1,2,6,5509
67,E02000001,1,2,6,3794
68,E02000001,1,2,6,5174
69,E02000001,1,3,2,2211
70,E02000001,1,3,2,2061
71,E02000001,1,3,2,3817
72,E02000001,1,3,2,1493
73,E02000001,1,3,2,1336
74,E02000001,1,3,2,2125
75,E02000001,1,3,2,5312
76,E02000001,1,3,2,1660
77,E02000001,1,3,2,5311
78,E02000001,1,3,2,4058
79,E02000001,1,3,2,4080
80,E02000001,1,3,2,1358
81,E02000001,1,3,2,4043
82,E02000001,1,3,2,3136
83,E02000001,1,3,2,97
84,E02000001,1,3,3,4079
85,E02000001,1,3,3,895
86,E02000001,1,3,4,1139
87,E02000001,1,3,4,4819
88,E02000001,1,3,4,1125
89,E02000001,1,3,4,2958
90,E02000001,1,3,5,1854
91,E02000001,1,3,5,1687
92,E02000001,1,3,6,4402
93,E02000001,1,3,6,4403
94,E02000001,1,3,6,1881
95,E02000001,1,3,6,4201
96,E02000001,1,3,7,758
97,E02000001,1,3,7,5382
98,E02000001,1,4,2,382
99,E02000001,1,4,2,2098
100,E02000001,1,4,2,4976
101,E02000001,1,4,2,4064
102,E02000001,1,4,2,2548
103,E02000001,1,4,2,5534
104,E02000001,1,4,2,1402
105,E02000001,1,4,2,784
106,E02000001,1,4,2,3128
107,E02000001,1,4,2,365
108,E02000001,1,4,2,3564
109,E02000001,1,4,2,4440
110,E02000001,1,4,2,1995
111,E02000001,1,4,4,2165
112,E02000001,1,4,4,3617
113,E02000001,1,4,4,2128
114,E02000001,1,4,6,5535
115,E02000001,1,4,8,2089
116,E02000001,1,5,2,3588
117,E02000001,1,5,2,3781
118,E02000001,1,5,2,449
119,E02000001,1,5,2,1241
120,E02000001,1,5,2,507
121,E02000001,1,5,2,4033
122,E02000001,1,5,2,1317
123,E02000001,1,5,2,6
124,E02000001,1,5,2,284
125,E02000001,1,5,2,4117
126,E02000001,1,5,4,2102
127,E02000001,1,5,4,3807
128,E02000001,1,5,5,759
129,E02000001,1,5,6,1800
130,E02000001,1,5,6,1399
131,E02000001,1,6,2,4073
132,E02000001,1,6,2,3871
133,E02000001,1,6,2,3961
134,E02000001,1,6,2,5448
135,E02000001,1,6,2,509
136,E02000001,1,6,2,4042
137,E02000001,1,6,2,4609
138,E02000001,1,6,2,3884
139,E02000001,1,6,2,2549
140,E02000001,1,6,2,1937
141,E02000001,1,6,2,656
142,E02000001,1,6,2,2080
143,E02000001,1,6,2,2058
144,E02000001,1,6,2,4427
145,E02000001,1,6,3,4655
146,E02000001,1,6,4,4324
147,E02000001,1,6,4,3618
148,E02000001,1,6,4,1188
149,E02000001,1,6,4,4452
150,E02000001,1,6,5,2
151,E02000001,1,6,6,1519
152,E02000001,1,6,6,4013
153,E02000001,1,6,6,4061
154,E02000001,1,6,6,1881
155,E02000001,1,6,6,369
156,E02000001,1,7,2,4035
157,E02000001,1,7,2,313
158,E02000001,1,7,2,5310
159,E02000001,1,7,2,1807
160,E02000001,1,7,2,2124
161,E02000001,1,7,2,3908
162,E02000001,1,7,2,202
163,E02000001,1,7,2,648
164,E02000001,1,7,2,1625
165,E02000001,1,7,2,3812
166,E02000001,1,7,2,4222
167,E02000001,1,7,3,5523
168,E02000001,1,7,4,554
169,E02000001,1,7,5,5308
170,E02000001,1,7,6,506
171,E02000001,1,7,6,1744
172,E02000001,1,7,7,3739
173,E02000001,1,7,7,1275
174,E02000001,1,8,2,2122
175,E02000001,1,8,2,2217
176,E02000001,1,8,2,1276
177,E02000001,1,8,2,68
178,E02000001,1,8,2,5446
179,E02000001,1,8,2,4038
180,E02000001,1,8,2,4823
181,E02000001,1,8,2,4009
182,E02000001,1,8,2,4085
183,E02000001,1,8,2,366
184,E02000001,1,8,2,3816
185,E02000001,1,8,2,71
186,E02000001,1,8,2,1290
187,E02000001,1,8,2,4011
188,E02000001,1,8,4,2218
189,E02000001,1,8,4,4057
190,E02000001,1,8,4,1880
191,E02000001,1,8,5,497
192,E02000001,1,8,6,780
193,E02000001,1,8,7,3922
194,E02000001,1,8,7,1878
195,E02000001,1,8,8,3673
196,E02000001,1,9,2,4350
197,E02000001,1,9,2,4614
198,E02000001,1,9,2,4693
199,E02000001,1,9,2,1788
200,E02000001,1,9,2,1180
201,E02000001,1,9,2,3131
202,E02000001,1,9,2,5510
203,E02000001,1,9,2,1329
204,E02000001,1,9,2,4078
205,E02000001,1,9,2,4202
206,E02000001,1,9,2,4071
207,E02000001,1,9,2,4012
208,E02000001,1,9,2,1401
209,E02000001,1,9,2,319
210,E02000001,1,9,2,4059
211,E02000001,1,9,2,3829
212,E02000001,1,9,2,2092
213,E02000001,1,9,2,3619
214,E02000001,1,9,2,3282
215,E02000001,1,9,4,3796
216,E02000001,1,9,4,3814
217,E02000001,1,9,4,3941
218,E02000001,1,9,4,893
219,E02000001,1,9,4,3861
220,E02000001,1,9,4,1235
221,E02000001,1,9,4,1645
222,E02000001,1,9,4,661
223,E02000001,1,9,6,3834
224,E02000001,1,9,6,135
225,E02000001,1,9,6,3226
226,E02000001,1,9,6,448
227,E02000001,1,9,6,2132
228,E02000001,1,9,8,752
229,E02000001,1,10,2,2129
230,E02000001,1,10,2,3612
231,E02000001,1,10,2,4074
232,E02000001,1,10,2,1356
233,E02000001,1,10,2,3856
234,E02000001,1,10,2,1354
235,E02000001,1,10,2,962
236,E02000001,1,10,2,1311
237,E02000001,1,10,2,1926
238,E02000001,1,10,2,3928
239,E02000001,1,10,2,4079
240,E02000001,1,10,2,98
241,E02000001,1,10,2,2285
242,E02000001,1,10,3,1711
243,E02000001,1,10,3,2089
244,E02000001,1,10,4,447
245,E02000001,1,10,4,1403
246,E02000001,1,10,4,2088
247,E02000001,1,10,4,2149
248,E02000001,1,10,4,4132
249,E02000001,1,10,4,3282
250,E02000001,1,10,4,93
251,E02000001,1,10,5,1993
252,E02000001,1,10,5,4028
253,E02000001,1,11,2,2704
254,E02000001,1,11,2,764
255,E02000001,1,11,2,799
256,E02000001,1,11,2,2087
257,E02000001,1,11,2,3831
258,E02000001,1,11,2,203
259,E02000001,1,11,2,3132
260,E02000001,1,11,2,3679
261,E02000001,1,11,2,2388
262,E02000001,1,11,2,206
263,E02000001,1,11,3,3884
264,E02000001,1,11,4,3827
265,E02000001,1,11,4,1536
266,E02000001,1,11,4,453
267,E02000001,1,11,6,3880
268,E02000001,1,11,7,378
269,E02000001,1,11,8,1724
270,E02000001,1,12,2,1751
271,E02000001,1,12,2,1132
272,E02000001,1,12,2,96
273,E02000001,1,12,2,2523
274,E02000001,1,12,2,5262
275,E02000001,1,12,2,5538
276,E02000001,1,12,2,1289
277,E02000001,1,12,2,559
278,E02000001,1,12,2,3269
279,E02000001,1,12,2,2620
280,E02000001,1,12,2,1787
281,E02000001,1,12,2,558
282,E02000001,1,12,2,311
283,E02000001,1,12,2,1355
284,E02000001,1,12,2,2368
285,E02000001,1,12,2,2375
286,E02000001,1,12,2,1243
287,E02000001,1,12,2,50
288,E02000001,1,12,4,3905
289,E02000001,1,12,4,2208
290,E02000001,1,12,4,4001
291,E02000001,1,12,4,3613
292,E02000001,1,12,4,4973
293,E02000001,1,12,6,2136
294,E02000001,1,12,6,2103
295,E02000001,1,12,8,4040
296,E02000001,1,12,8,95
297,E02000001,1,13,2,2194
298,E02000001,1,13,2,2235
299,E02000001,1,13,2,4348
300,E02000001,1,13,2,92
301,E02000001,1,13,2,3810
302,E02000001,1,13,2,5496
303,E02000001,1,13,2,74
304,E02000001,1,13,2,1054
305,E02000001,1,13,4,3833
306,E02000001,1,13,4,3219
307,E02000001,1,13,4,301
308,E02000001,1,13,5,2847
309,E02000001,1,13,6,3644
310,E02000001,1,13,7,1123
311,E02000001,1,14,2,4007
312,E02000001,1,14,2,775
313,E02000001,1,14,2,4442
314,E02000001,1,14,2,5183
315,E02000001,1,14,2,1511
316,E02000001,1,14,2,172
317,E02000001,1,14,2,1136
318,E02000001,1,14,2,2219
319,E02000001,1,14,2,2678
320,E02000001,1,14,2,1517
321,E02000001,1,14,2,4032
322,E02000001,1,14,4,4137
323,E02000001,1,14,4,1855
324,E02000001,1,14,4,179
325,E02000001,1,14,5,2081
326,E02000001,1,14,6,757
327,E02000001,1,14,6,1765
328,E02000001,1,14,6,647
329,E02000001,1,14,7,4008
330,E02000001,1,15,2,2133
331,E02000001,1,15,2,1608
332,E02000001,1,15,2,3675
333,E02000001,1,15,2,455
334,E02000001,1,15,2,3275
335,E02000001,1,15,2,4039
336,E02000001,1,15,2,1620
337,E02000001,1,15,2,1529
338,E02000001,1,15,3,589
339,E02000001,1,15,4,3906
340,E02000001,1,15,4,4041
341,E02000001,1,15,4,198
342,E02000001,1,15,7,2213
343,E02000001,1,16,2,2207
344,E02000001,1,16,2,2338
345,E02000001,1,16,2,3742
346,E02000001,1,16,2,4769
347,E02000001,1,16,2,1124
348,E02000001,1,16,2,495
349,E02000001,1,16,2,2091
350,E02000001,1,16,3,4337
351,E02000001,1,16,4,1496
352,E02000001,1,16,4,2282
353,E02000001,1,16,5,5220
354,E02000001,1,16,6,4704
355,E02000001,1,17,2,2386
356,E02000001,1,17,2,2827
357,E02000001,1,17,2,2347
358,E02000001,1,17,2,2675
359,E02000001,1,17,2,3671
360,E02000001,1,17,2,220
361,E02000001,1,17,2,1970
362,E02000001,1,17,2,435
363,E02000001,1,17,2,4691
364,E02000001,1,17,3,1764
