HID,Area,LC4402_C_TYPACCOM,QS420_CELL,LC4402_C_TENHUK11,LC4408_C_AHTHUK11,CommunalSize,LC4404_C_SIZHUK11,LC4404_C_ROOMS,LC4405EW_C_BEDROOMS,LC4408EW_C_PPBROOMHEW11,LC4402_C_CENHEATHUK11,LC4605_C_NSSEC,LC4202_C_ETHHUK11,LC4202_C_CARSNO,HRPID,FILLED
1608,E00000019,5,-2,3,2,-2,3,2,1,-1,2,2,2,1,2888,True
4778,E00166757,5,-2,2,1,-2,1,4,2,-1,1,2,2,1,3280,True
3451,E00000028,5,-2,6,3,-2,2,2,1,-1,2,9,2,2,2270,True
3911,E00000031,5,-2,5,1,-2,1,4,1,-1,2,4,2,1,4526,True
133,E00000003,5,-2,2,2,-2,2,5,3,-1,2,2,2,3,5698,True
3880,E00000031,5,-2,3,3,-2,3,4,2,-1,2,2,2,1,2024,True
183,E00000003,5,-2,3,2,-2,2,5,2,-1,2,1,2,3,3153,True
2872,E00000026,5,-2,3,1,-2,1,4,1,-1,2,1,6,1,4201,True
152,E00000003,5,-2,2,2,-2,2,6,3,-1,2,2,2,1,5600,True
2260,E00000024,5,-2,2,1,-2,1,4,2,-1,2,9,2,3,1109,True
5244,E00166758,5,-2,3,1,-2,1,3,1,-1,2,2,4,1,5187,True
3545,E00000028,-2,-2,-1,-1,-2,0,4,1,-1,1,-1,-1,1,-1,False
4622,E00166756,5,-2,6,1,-2,1,1,1,-1,2,1,2,1,5279,True
3699,E00000029,-2,-2,-1,-1,-2,0,5,1,-1,2,-1,-1,1,-1,False
2514,E00000025,5,-2,2,1,-2,1,4,2,-1,2,9,2,3,5967,True
1303,E00000017,5,-2,2,2,-2,2,6,4,-1,2,1,2,1,2190,True
775,E00000012,5,-2,5,2,-2,3,4,3,-1,2,2,2,2,1319,True
5103,E00166757,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1,-1,False
4029,E00000032,5,-2,5,2,-2,2,4,3,-1,2,7,6,2,4510,True
4344,E00166755,5,-2,3,2,-2,2,4,2,-1,2,1,6,1,1871,True
635,E00000010,5,-2,5,1,-2,1,3,1,-1,2,7,2,1,5447,True
721,E00000012,5,-2,5,1,-2,1,3,1,-1,2,2,2,1,5687,True
205,E00000003,5,-2,3,2,-2,4,6,4,-1,2,1,2,3,1851,False
877,E00000013,5,-2,6,1,-2,1,2,1,-1,2,2,2,1,5448,True
632,E00000010,5,-2,5,1,-2,1,3,1,-1,2,5,2,1,5688,True
2901,E00000026,5,-2,6,1,-2,1,2,1,-1,2,2,2,2,5968,True
3657,E00000029,5,-2,6,5,-2,2,3,1,-1,2,2,6,1,5805,False
3171,E00000027,5,-2,6,1,-2,1,2,1,-1,2,2,2,1,425,True
3147,E00000027,5,-2,6,1,-2,1,1,1,-1,2,1,2,1,3961,True
170,E00000003,5,-2,2,4,-2,2,6,4,-1,2,1,2,1,4738,True
2177,E00000023,5,-2,3,2,-2,3,4,1,-1,2,1,2,1,3154,True
1172,E00000016,5,-2,3,2,-2,2,4,2,-1,2,1,2,1,2348,True
4241,E00000035,-2,27,-2,-1,0,-1,-1,-1,-1,2,-1,-1,1,-1,True
3034,E00000026,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1,-1,False
3712,E00000029,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1,-1,False
3071,E00000027,5,-2,2,1,-2,1,2,1,-1,2,1,2,2,4492,True
481,E00000007,5,-2,2,1,-2,1,2,1,-1,2,1,2,1,5449,True
3214,E00000027,5,-2,6,3,-2,2,2,1,-1,2,2,2,2,5261,True
3129,E00000027,5,-2,3,2,-2,2,3,2,-1,2,1,2,1,5475,True
4347,E00166755,5,-2,5,1,-2,1,2,1,-1,2,7,6,1,5806,True
3133,E00000027,5,-2,3,3,-2,2,4,2,-1,2,1,6,2,1120,True
755,E00000012,5,-2,5,3,-2,2,3,1,-1,2,7,2,1,1990,True
450,E00000005,5,-2,6,2,-2,3,4,3,-1,2,5,4,1,1442,True
1348,E00000017,5,-2,3,2,-2,2,6,3,-1,2,2,2,3,4904,True
