PID,Area,DC1117EW_C_SEX,DC1117EW_C_AGE,DC2101EW_C_ETHPUK11
0,E02004149,1,1,2
1,E02004149,1,1,2
2,E02004149,1,1,2
3,E02004149,1,1,2
4,E02004149,1,1,2
5,E02004149,1,1,2
6,E02004149,1,1,2
7,E02004149,1,1,2
8,E02004149,1,1,2
9,E02004149,1,1,2
10,E02004149,1,1,2
11,E02004149,1,1,2
12,E02004149,1,1,2
13,E02004149,1,1,2
14,E02004149,1,1,2
15,E02004149,1,1,2
16,E02004149,1,1,2
17,E02004149,1,1,2
18,E02004149,1,1,2
19,E02004149,1,1,2
20,E02004149,1,1,2
21,E02004149,1,1,2
22,E02004149,1,1,2
23,E02004149,1,1,2
24,E02004149,1,1,2
25,E02004149,1,1,2
26,E02004149,1,1,2
27,E02004149,1,1,5
28,E02004149,1,1,10
29,E02004149,1,1,12
30,E02004149,1,1,13
31,E02004149,1,1,15
32,E02004149,1,1,15
33,E02004149,1,1,18
34,E02004149,1,2,2
35,E02004149,1,2,2
36,E02004149,1,2,2
37,E02004149,1,2,2
38,E02004149,1,2,2
39,E02004149,1,2,2
40,E02004149,1,2,2
41,E02004149,1,2,2
42,E02004149,1,2,2
43,E02004149,1,2,2
44,E02004149,1,2,2
45,E02004149,1,2,2
46,E02004149,1,2,2
47,E02004149,1,2,2
48,E02004149,1,2,2
49,E02004149,1,2,2
50,E02004149,1,2,2
51,E02004149,1,2,2
52,E02004149,1,2,2
53,E02004149,1,2,2
54,E02004149,1,2,2
55,E02004149,1,2,2
56,E02004149,1,2,2
57,E02004149,1,2,2
58,E02004149,1,2,2
59,E02004149,1,2,2
60,E02004149,1,2,2
61,E02004149,1,2,13
62,E02004149,1,2,15
63,E02004149,1,2,23
64,E02004149,1,3,2
65,E02004149,1,3,2
66,E02004149,1,3,2
67,E02004149,1,3,2
68,E02004149,1,3,2
69,E02004149,1,3,2
70,E02004149,1,3,2
71,E02004149,1,3,2
72,E02004149,1,3,2
73,E02004149,1,3,2
74,E02004149,1,3,2
75,E02004149,1,3,2
76,E02004149,1,3,2
77,E02004149,1,3,2
78,E02004149,1,3,2
79,E02004149,1,3,2
80,E02004149,1,3,2
81,E02004149,1,3,2
82,E02004149,1,3,2
83,E02004149,1,3,2
84,E02004149,1,3,2
85,E02004149,1,3,2
86,E02004149,1,3,2
87,E02004149,1,3,2
88,E02004149,1,3,5
89,E02004149,1,3,5
90,E02004149,1,3,5
91,E02004149,1,3,9
92,E02004149,1,3,12
93,E02004149,1,3,15
94,E02004149,1,3,16
95,E02004149,1,4,2
96,E02004149,1,4,2
97,E02004149,1,4,2
98,E02004149,1,4,2
99,E02004149,1,4,2
100,E02004149,1,4,2
101,E02004149,1,4,2
102,E02004149,1,4,2
103,E02004149,1,4,2
104,E02004149,1,4,2
