PID,Area,DC1117EW_C_SEX,DC1117EW_C_AGE,DC2101EW_C_ETHPUK11
0,S02002436,1,1,1
1,S02002436,1,1,1
2,S02002436,1,1,1
3,S02002436,1,1,1
4,S02002436,1,1,1
5,S02002436,1,1,1
6,S02002436,1,1,1
7,S02002436,1,1,1
8,S02002436,1,1,1
9,S02002436,1,1,1
10,S02002436,1,1,1
11,S02002436,1,1,1
12,S02002436,1,1,1
13,S02002436,1,1,1
14,S02002436,1,1,1
15,S02002436,1,1,1
16,S02002436,1,1,1
17,S02002436,1,1,1
18,S02002436,1,1,1
19,S02002436,1,1,1
20,S02002436,1,2,1
21,S02002436,1,2,1
22,S02002436,1,2,1
23,S02002436,1,2,1
24,S02002436,1,2,1
25,S02002436,1,2,1
26,S02002436,1,2,1
27,S02002436,1,2,1
28,S02002436,1,2,1
29,S02002436,1,2,1
30,S02002436,1,2,1
31,S02002436,1,2,1
32,S02002436,1,2,1
33,S02002436,1,2,1
34,S02002436,1,2,1
35,S02002436,1,2,1
36,S02002436,1,2,1
37,S02002436,1,2,1
38,S02002436,1,2,1
39,S02002436,1,2,1
40,S02002436,1,2,1
41,S02002436,1,3,1
42,S02002436,1,3,1
43,S02002436,1,3,1
44,S02002436,1,3,1
45,S02002436,1,3,1
46,S02002436,1,3,1
47,S02002436,1,3,1
48,S02002436,1,3,1
49,S02002436,1,3,1
50,S02002436,1,3,1
51,S02002436,1,3,1
52,S02002436,1,3,1
53,S02002436,1,3,1
54,S02002436,1,3,1
55,S02002436,1,3,1
56,S02002436,1,3,1
57,S02002436,1,3,1
58,S02002436,1,3,1
59,S02002436,1,3,1
60,S02002436,1,3,1
61,S02002436,1,3,1
62,S02002436,1,3,1
63,S02002436,1,4,1
64,S02002436,1,4,1
65,S02002436,1,4,1
66,S02002436,1,4,1
67,S02002436,1,4,1
68,S02002436,1,4,1
69,S02002436,1,4,1
70,S02002436,1,4,1
71,S02002436,1,4,1
72,S02002436,1,4,1
73,S02002436,1,4,1
74,S02002436,1,4,1
75,S02002436,1,4,1
76,S02002436,1,4,1
77,S02002436,1,4,1
78,S02002436,1,4,1
79,S02002436,1,4,1
80,S02002436,1,4,1
81,S02002436,1,4,1
82,S02002436,1,4,1
83,S02002436,1,4,1
84,S02002436,1,5,1
85,S02002436,1,5,1
86,S02002436,1,5,1
