HID,Area,LC4402_C_TYPACCOM,QS420_CELL,LC4402_C_TENHUK11,LC4408_C_AHTHUK11,CommunalSize,LC4404_C_SIZHUK11,LC4404_C_ROOMS,LC4405EW_C_BEDROOMS,LC4408EW_C_PPBROOMHEW11,LC4402_C_CENHEATHUK11,LC4605_C_NSSEC,LC4202_C_ETHHUK11,LC4202_C_CARSNO
1608,E00000019,5,-2,3,2,-2,3,2,1,-1,2,2,2,1
4778,E00166757,5,-2,2,1,-2,1,4,2,-1,1,2,2,1
3451,E00000028,5,-2,6,3,-2,2,2,1,-1,2,9,2,2
3911,E00000031,5,-2,5,1,-2,1,4,1,-1,2,4,2,1
133,E00000003,5,-2,2,2,-2,2,5,3,-1,2,2,2,3
3880,E00000031,5,-2,3,3,-2,3,4,2,-1,2,2,2,1
183,E00000003,5,-2,3,2,-2,2,5,2,-1,2,1,2,3
2872,E00000026,5,-2,3,1,-2,1,4,1,-1,2,1,6,1
152,E00000003,5,-2,2,2,-2,2,6,3,-1,2,2,2,1
2260,E00000024,5,-2,2,1,-2,1,4,2,-1,2,9,2,3
5244,E00166758,5,-2,3,1,-2,1,3,1,-1,2,2,4,1
3545,E00000028,-2,-2,-1,-1,-2,0,4,1,-1,1,-1,-1,1
4622,E00166756,5,-2,6,1,-2,1,1,1,-1,2,1,2,1
3699,E00000029,-2,-2,-1,-1,-2,0,5,1,-1,2,-1,-1,1
2514,E00000025,5,-2,2,1,-2,1,4,2,-1,2,9,2,3
1303,E00000017,5,-2,2,2,-2,2,6,4,-1,2,1,2,1
775,E00000012,5,-2,5,2,-2,3,4,3,-1,2,2,2,2
5103,E00166757,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
4029,E00000032,5,-2,5,2,-2,2,4,3,-1,2,7,6,2
4344,E00166755,5,-2,3,2,-2,2,4,2,-1,2,1,6,1
635,E00000010,5,-2,5,1,-2,1,3,1,-1,2,7,2,1
721,E00000012,5,-2,5,1,-2,1,3,1,-1,2,2,2,1
205,E00000003,5,-2,3,2,-2,4,6,4,-1,2,1,2,3
877,E00000013,5,-2,6,1,-2,1,2,1,-1,2,2,2,1
632,E00000010,5,-2,5,1,-2,1,3,1,-1,2,5,2,1
2901,E00000026,5,-2,6,1,-2,1,2,1,-1,2,2,2,2
3657,E00000029,5,-2,6,5,-2,2,3,1,-1,2,2,6,1
3171,E00000027,5,-2,6,1,-2,1,2,1,-1,2,2,2,1
3147,E00000027,5,-2,6,1,-2,1,1,1,-1,2,1,2,1
170,E00000003,5,-2,2,4,-2,2,6,4,-1,2,1,2,1
2177,E00000023,5,-2,3,2,-2,3,4,1,-1,2,1,2,1
1172,E00000016,5,-2,3,2,-2,2,4,2,-1,2,1,2,1
4241,E00000035,-2,27,-2,-1,0,-1,-1,-1,-1,2,-1,-1,1
3034,E00000026,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
3712,E00000029,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
3071,E00000027,5,-2,2,1,-2,1,2,1,-1,2,1,2,2
481,E00000007,5,-2,2,1,-2,1,2,1,-1,2,1,2,1
3214,E00000027,5,-2,6,3,-2,2,2,1,-1,2,2,2,2
3129,E00000027,5,-2,3,2,-2,2,3,2,-1,2,1,2,1
4347,E00166755,5,-2,5,1,-2,1,2,1,-1,2,7,6,1
3133,E00000027,5,-2,3,3,-2,2,4,2,-1,2,1,6,2
755,E00000012,5,-2,5,3,-2,2,3,1,-1,2,7,2,1
450,E00000005,5,-2,6,2,-2,3,4,3,-1,2,5,4,1
1348,E00000017,5,-2,3,2,-2,2,6,3,-1,2,2,2,3
5160,E00166758,5,-2,2,1,-2,1,3,1,-1,2,1,6,1
4576,E00166756,5,-2,2,1,-2,1,3,1,-1,2,2,2,2
5021,E00166757,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
4360,E00166755,5,-2,6,1,-2,1,2,1,-1,2,2,2,3
2394,E00000024,-2,30,-2,-1,0,-1,-1,-1,-1,2,-1,-1,1
83,E00000001,5,-2,5,4,-2,2,6,3,-1,2,1,6,2
3908,E00000031,5,-2,5,2,-2,4,3,1,-1,2,1,4,2
2411,E00000024,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
2084,E00000022,5,-2,3,2,-2,3,4,2,-1,2,6,6,2
2806,E00000025,-2,-2,-1,-1,-2,0,4,3,-1,2,-1,-1,1
1603,E00000019,5,-2,2,2,-2,2,6,4,-1,2,1,2,2
3273,E00000027,4,-2,6,3,-2,2,5,2,-1,2,5,2,1
1427,E00000017,-2,-2,-1,-1,-2,0,6,4,-1,2,-1,-1,1
5186,E00166758,5,-2,2,1,-2,1,4,1,-1,2,2,2,1
4368,E00166755,5,-2,6,1,-2,1,2,1,-1,2,1,5,1
1793,E00000020,5,-2,6,1,-2,1,4,2,-1,2,1,4,1
2039,E00000021,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
5520,E00166759,5,-2,6,2,-2,2,4,2,-1,2,9,2,1
453,E00000005,5,-2,6,2,-2,3,5,1,-1,2,6,2,1
2314,E00000024,5,-2,6,2,-2,2,2,1,-1,2,2,6,1
4461,E00166755,5,-2,6,5,-2,2,6,4,-1,2,1,2,1
1665,E00000019,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
5087,E00166757,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
2280,E00000024,5,-2,3,1,-2,1,4,2,-1,2,1,4,2
2323,E00000024,5,-2,6,1,-2,1,3,1,-1,2,4,6,2
1707,E00000020,5,-2,2,2,-2,2,3,2,-1,2,2,2,2
3387,E00000027,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
4434,E00166755,5,-2,6,3,-2,2,4,2,-1,2,1,2,1
2887,E00000026,5,-2,3,1,-2,1,6,1,-1,2,1,2,1
2398,E00000024,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
299,E00000005,5,-2,2,2,-2,2,4,1,-1,2,2,2,1
4531,E00166755,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
2288,E00000024,5,-2,5,1,-2,1,4,2,-1,2,6,2,1
560,E00000007,3,-2,6,3,-2,2,5,2,-1,2,5,4,1
1203,E00000016,5,-2,6,1,-2,1,2,1,-1,2,2,3,1
2363,E00000024,5,-2,6,2,-2,2,4,2,-1,2,4,2,2
1918,E00000021,5,-2,3,2,-2,2,4,1,-1,2,4,2,2
3058,E00000027,5,-2,2,1,-2,1,1,1,-1,2,1,2,2
3403,E00000028,5,-2,3,1,-2,1,2,1,-1,2,1,2,2
3680,E00000029,5,-2,6,5,-2,4,5,4,-1,2,2,2,1
5501,E00166759,5,-2,6,1,-2,1,3,1,-1,2,1,4,1
1508,E00000018,4,-2,3,3,-2,2,3,1,-1,2,4,2,1
3592,E00000029,5,-2,5,1,-2,1,3,1,-1,2,1,2,1
5365,E00166758,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
2316,E00000024,4,-2,6,3,-2,2,2,1,-1,2,1,4,1
769,E00000012,5,-2,5,1,-2,1,4,1,-1,2,3,2,1
351,E00000005,5,-2,3,1,-2,1,4,1,-1,2,1,2,1
5265,E00166758,5,-2,3,5,-2,3,3,2,-1,2,1,2,2
2454,E00000024,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
725,E00000012,5,-2,5,1,-2,1,3,1,-1,2,3,2,1
2856,E00000026,5,-2,3,2,-2,2,2,1,-1,2,2,2,1
4566,E00166756,5,-2,2,1,-2,1,1,1,-1,2,4,2,2
4714,E00166756,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
2188,E00000023,5,-2,5,2,-2,2,2,1,-1,2,4,2,1
1739,E00000020,5,-2,3,2,-2,2,3,1,-1,2,1,5,2
1447,E00000018,5,-2,2,1,-2,1,3,1,-1,2,1,2,1
2655,E00000025,5,-2,6,1,-2,1,4,3,-1,2,1,2,1
3158,E00000027,5,-2,6,1,-2,1,1,1,-1,2,1,5,1
2940,E00000026,5,-2,6,1,-2,1,3,2,-1,2,1,4,1
4654,E00166756,5,-2,6,3,-2,2,1,1,-1,2,3,2,2
4805,E00166757,5,-2,3,1,-2,1,3,2,-1,2,2,2,1
2562,E00000025,5,-2,6,1,-2,1,1,1,-1,2,9,2,1
4730,E00166756,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
1483,E00000018,5,-2,2,1,-2,1,6,1,-1,2,2,2,2
4150,E00000035,5,-2,6,1,-2,1,2,1,-1,2,3,2,1
4854,E00166757,5,-2,6,1,-2,1,2,1,-1,2,2,4,1
4376,E00166755,5,-2,6,2,-2,2,2,1,-1,2,2,6,2
629,E00000010,5,-2,5,1,-2,1,3,1,-1,2,2,2,1
4264,E00000035,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
4875,E00166757,5,-2,6,3,-2,2,2,1,-1,2,5,4,1
1100,E00000016,5,-2,2,4,-2,2,3,2,-1,2,1,2,2
410,E00000005,5,-2,6,1,-2,1,3,1,-1,2,1,4,1
4582,E00166756,5,-2,2,2,-2,2,3,2,-1,2,2,2,1
5526,E00166759,5,-2,6,5,-2,2,4,2,-1,2,1,4,1
1588,E00000019,5,-2,2,1,-2,1,3,2,-1,2,4,4,2
5017,E00166757,-2,-2,-1,-1,-2,0,4,1,-1,2,-1,-1,1
3286,E00000027,-2,28,-2,-1,12,-1,-1,-1,-1,2,8,-1,1
5485,E00166759,5,-2,6,1,-2,1,1,1,-1,2,2,6,1
3276,E00000027,5,-2,6,5,-2,3,5,4,-1,2,1,4,1
3426,E00000028,5,-2,6,1,-2,1,1,1,-1,2,9,6,1
3179,E00000027,5,-2,6,1,-2,1,2,1,-1,2,1,2,2
2500,E00000025,5,-2,2,1,-2,1,2,1,-1,2,2,4,2
5399,E00166759,5,-2,2,1,-2,1,3,2,-1,2,2,2,2
1880,E00000021,5,-2,2,2,-2,4,4,2,-1,2,2,2,2
4101,E00000035,5,-2,2,1,-2,1,4,2,-1,2,1,2,1
1585,E00000019,5,-2,2,1,-2,1,3,1,-1,2,1,4,2
4432,E00166755,5,-2,6,2,-2,2,4,2,-1,2,3,4,1
633,E00000010,5,-2,5,1,-2,1,3,1,-1,2,5,2,1
2963,E00000026,5,-2,6,1,-2,1,4,1,-1,2,3,4,1
4491,E00166755,-2,-2,-1,-1,-2,0,5,4,-1,2,-1,-1,1
2312,E00000024,5,-2,6,2,-2,2,2,1,-1,2,2,2,2
1051,E00000014,5,-2,6,1,-2,1,3,1,-1,2,1,2,2
4076,E00000032,5,-2,5,1,-2,1,6,1,-1,2,3,2,1
4815,E00166757,5,-2,3,1,-2,1,4,3,-1,2,2,2,1
1790,E00000020,5,-2,6,1,-2,1,4,2,-1,2,1,2,1
1858,E00000021,5,-2,2,5,-2,4,3,2,-1,2,1,2,2
4857,E00166757,5,-2,6,1,-2,1,2,1,-1,2,2,4,1
4687,E00166756,5,-2,6,5,-2,2,3,1,-1,2,2,5,1
2766,E00000025,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
2003,E00000021,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
3575,E00000029,5,-2,5,1,-2,1,1,1,-1,2,5,2,1
3331,E00000027,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
5521,E00166759,5,-2,6,2,-2,2,4,2,-1,2,2,6,1
1996,E00000021,5,-2,6,2,-2,2,4,2,-1,1,2,5,1
3861,E00000030,5,-2,6,5,-2,3,5,3,-1,2,4,4,1
5105,E00166757,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
2209,E00000023,5,-2,5,4,-2,2,4,2,-1,2,6,4,1
500,E00000007,5,-2,3,1,-2,1,3,2,-1,2,2,6,1
5120,E00166757,-2,-2,-1,-1,-2,0,4,1,-1,1,-1,-1,1
2226,E00000023,5,-2,5,4,-2,3,5,3,-1,2,8,2,2
1453,E00000018,5,-2,2,1,-2,1,3,1,-1,2,1,2,2
1304,E00000017,5,-2,2,2,-2,2,6,4,-1,2,1,2,1
350,E00000005,5,-2,3,2,-2,3,3,2,-1,2,2,2,1
1932,E00000021,5,-2,5,1,-2,1,2,1,-1,2,2,2,1
694,E00000012,5,-2,3,2,-2,2,3,1,-1,1,2,4,1
3315,E00000027,-2,-2,-1,-1,-2,0,4,1,-1,2,-1,-1,1
5149,E00166758,5,-2,2,1,-2,1,3,1,-1,2,1,2,2
4085,E00000032,5,-2,6,2,-2,4,5,3,-1,2,8,6,1
3563,E00000029,5,-2,2,1,-2,1,4,1,-1,1,3,2,1
3523,E00000028,-2,-2,-1,-1,-2,0,1,1,-1,1,-1,-1,1
1676,E00000019,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
3366,E00000027,-2,-2,-1,-1,-2,0,6,1,-1,2,-1,-1,1
3026,E00000026,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
2431,E00000024,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
4356,E00166755,5,-2,6,1,-2,1,2,1,-1,1,2,6,1
1228,E00000016,5,-2,6,1,-2,1,3,2,-1,2,1,2,1
