,indices
E02000001,0
E02000002,1
E02000003,2
E02000004,3
E02000005,4
E02000007,5
E02000008,6
E02000009,7
E02000010,8
E02000011,9
E02000012,10
E02000013,11
E02000014,12
E02000015,13
E02000016,14
E02000017,15
E02000018,16
E02000019,17
E02000020,18
E02000021,19
E02000022,20
E02000023,21
E02000024,22
E02000025,23
E02000026,24
E02000027,25
E02000028,26
E02000029,27
E02000030,28
E02000031,29
E02000032,30
E02000033,31
E02000034,32
E02000035,33
E02000036,34
E02000037,35
E02000038,36
E02000039,37
E02000040,38
E02000041,39
E02000042,40
E02000043,41
E02000044,42
E02000045,43
E02000046,44
E02000047,45
E02000048,46
E02000049,47
E02000050,48
E02000051,49
E02000052,50
E02000053,51
E02000054,52
E02000055,53
E02000056,54
E02000057,55
E02000058,56
E02000059,57
E02000060,58
E02000061,59
E02000062,60
E02000063,61
E02000064,62
E02000065,63
E02000066,64
E02000067,65
E02000068,66
E02000069,67
E02000070,68
E02000071,69
E02000072,70
E02000073,71
E02000074,72
E02000075,73
E02000077,74
E02000078,75
E02000079,76
E02000080,77
E02000081,78
E02000082,79
E02000083,80
E02000084,81
E02000085,82
E02000086,83
E02000087,84
E02000088,85
E02000089,86
E02000090,87
E02000091,88
E02000092,89
E02000093,90
E02000094,91
E02000095,92
E02000096,93
E02000097,94
E02000098,95
E02000099,96
E02000100,97
E02000101,98
E02000102,99
E02000103,100
E02000104,101
E02000105,102
E02000106,103
E02000107,104
E02000108,105
E02000109,106
E02000110,107
E02000111,108
E02000112,109
E02000113,110
E02000114,111
E02000115,112
E02000116,113
E02000117,114
E02000118,115
E02000119,116
E02000120,117
E02000121,118
E02000122,119
E02000123,120
E02000124,121
E02000125,122
E02000126,123
E02000127,124
E02000128,125
E02000130,126
E02000131,127
E02000132,128
E02000133,129
E02000134,130
E02000135,131
E02000136,132
E02000137,133
E02000138,134
E02000139,135
E02000140,136
E02000141,137
E02000142,138
E02000144,139
E02000145,140
E02000146,141
E02000147,142
E02000148,143
E02000149,144
E02000150,145
E02000151,146
E02000152,147
E02000153,148
E02000154,149
E02000155,150
E02000156,151
E02000157,152
E02000158,153
E02000159,154
E02000160,155
E02000161,156
E02000162,157
E02000163,158
E02000165,159
E02000166,160
E02000167,161
E02000168,162
E02000169,163
E02000170,164
E02000171,165
E02000172,166
E02000173,167
E02000174,168
E02000175,169
E02000176,170
E02000177,171
E02000178,172
E02000179,173
E02000180,174
E02000181,175
E02000182,176
E02000183,177
E02000184,178
E02000185,179
E02000186,180
E02000187,181
E02000188,182
E02000189,183
E02000190,184
E02000191,185
E02000192,186
E02000193,187
E02000194,188
E02000195,189
E02000196,190
E02000197,191
E02000198,192
E02000199,193
E02000200,194
E02000201,195
E02000202,196
E02000203,197
E02000204,198
E02000206,199
E02000207,200
E02000208,201
E02000209,202
E02000210,203
E02000211,204
E02000212,205
E02000213,206
E02000214,207
E02000215,208
E02000216,209
E02000217,210
E02000218,211
E02000219,212
E02000220,213
E02000221,214
E02000222,215
E02000223,216
E02000224,217
E02000225,218
E02000226,219
E02000227,220
E02000228,221
E02000229,222
E02000230,223
E02000231,224
E02000232,225
E02000233,226
E02000234,227
E02000235,228
E02000236,229
E02000237,230
E02000238,231
E02000239,232
E02000240,233
E02000241,234
E02000242,235
E02000243,236
E02000244,237
E02000245,238
E02000246,239
E02000247,240
E02000248,241
E02000249,242
E02000250,243
E02000251,244
E02000252,245
E02000253,246
E02000254,247
E02000255,248
E02000256,249
E02000257,250
E02000258,251
E02000259,252
E02000260,253
E02000261,254
E02000262,255
E02000263,256
E02000264,257
E02000265,258
E02000266,259
E02000267,260
E02000268,261
E02000269,262
E02000270,263
E02000271,264
E02000272,265
E02000274,266
E02000275,267
E02000276,268
E02000277,269
E02000278,270
E02000279,271
E02000280,272
E02000281,273
E02000282,274
E02000283,275
E02000284,276
E02000285,277
E02000286,278
E02000287,279
E02000288,280
E02000289,281
E02000290,282
E02000291,283
E02000292,284
E02000293,285
E02000294,286
E02000295,287
E02000296,288
E02000297,289
E02000298,290
E02000299,291
E02000300,292
E02000301,293
E02000302,294
E02000303,295
E02000304,296
E02000305,297
E02000306,298
E02000307,299
E02000308,300
E02000309,301
E02000311,302
E02000312,303
E02000313,304
E02000314,305
E02000315,306
E02000316,307
E02000317,308
E02000318,309
E02000319,310
E02000320,311
E02000321,312
E02000323,313
E02000324,314
E02000326,315
E02000327,316
E02000328,317
E02000329,318
E02000331,319
E02000332,320
E02000333,321
E02000334,322
E02000335,323
E02000337,324
E02000339,325
E02000340,326
E02000341,327
E02000342,328
E02000343,329
E02000344,330
E02000345,331
E02000346,332
E02000347,333
E02000348,334
E02000350,335
E02000351,336
E02000352,337
E02000353,338
E02000354,339
E02000355,340
E02000356,341
E02000357,342
E02000358,343
E02000359,344
E02000360,345
E02000361,346
E02000362,347
E02000363,348
E02000364,349
E02000365,350
E02000366,351
E02000367,352
E02000368,353
E02000369,354
E02000370,355
E02000371,356
E02000372,357
E02000373,358
E02000374,359
E02000375,360
E02000376,361
E02000377,362
E02000378,363
E02000379,364
E02000380,365
E02000381,366
E02000382,367
E02000383,368
E02000384,369
E02000385,370
E02000386,371
E02000387,372
E02000388,373
E02000389,374
E02000390,375
E02000391,376
E02000392,377
E02000393,378
E02000394,379
E02000395,380
E02000396,381
E02000397,382
E02000398,383
E02000400,384
E02000401,385
E02000402,386
E02000403,387
E02000404,388
E02000405,389
E02000406,390
E02000407,391
E02000408,392
E02000409,393
E02000410,394
E02000411,395
E02000412,396
E02000413,397
E02000414,398
E02000415,399
E02000416,400
E02000417,401
E02000418,402
E02000419,403
E02000420,404
E02000421,405
E02000422,406
E02000423,407
E02000424,408
E02000425,409
E02000426,410
E02000427,411
E02000428,412
E02000429,413
E02000430,414
E02000431,415
E02000432,416
E02000433,417
E02000434,418
E02000435,419
E02000436,420
E02000437,421
E02000438,422
E02000439,423
E02000440,424
E02000441,425
E02000442,426
E02000443,427
E02000444,428
E02000445,429
E02000447,430
E02000448,431
E02000449,432
E02000451,433
E02000452,434
E02000453,435
E02000454,436
E02000455,437
E02000456,438
E02000457,439
E02000459,440
E02000460,441
E02000461,442
E02000462,443
E02000463,444
E02000464,445
E02000465,446
E02000466,447
E02000467,448
E02000468,449
E02000469,450
E02000470,451
E02000471,452
E02000472,453
E02000473,454
E02000474,455
E02000475,456
E02000476,457
E02000477,458
E02000478,459
E02000479,460
E02000480,461
E02000481,462
E02000482,463
E02000483,464
E02000484,465
E02000485,466
E02000486,467
E02000487,468
E02000488,469
E02000489,470
E02000490,471
E02000491,472
E02000492,473
E02000493,474
E02000494,475
E02000495,476
E02000496,477
E02000497,478
E02000498,479
E02000499,480
E02000500,481
E02000501,482
